"Accession","Group ID"
"scer|YAL056W","OG7_0101665"
"scer|YAL058W","OG7_0003538"
"scer|YAL059W","OG7_0155925"
"scer|YAL060W","OG7_0001110"
"scer|YAL061W","OG7_0001110"
"scer|YAL062W","OG7_0003597"
"scer|YAL063C","OG7_0024920"
"scer|YAL063C-A","OG7_0155674"
"scer|YAL064C-A","OG7_0024920"
"scer|YAL064W","OG7_0156190"
"scer|YAL064W-B","OG7_0155902"
"scer|YAL065C","OG7_0024920"
"scer|YAL067C","OG7_0002542"
"scer|YAL067W-A","OG7_0071884"
"scer|YAL068C","OG7_0014528"
"scer|YAR002C-A","OG7_0001609"
"scer|YAR002W","OG7_0101692"
"scer|YAR003W","OG7_0007581"
"scer|YAR007C","OG7_0004216"
"scer|YAR008W","OG7_0004069"
"scer|YAR009C","OG7_0011767"
"scer|YAR010C","OG7_0014733"
"scer|YAR014C","OG7_0017149"
"scer|YAR015W","OG7_0005817"
"scer|YAR018C","OG7_0001157"
"scer|YAR019C","OG7_0000432"
"scer|YAR020C","OG7_0014528"
"scer|YAR023C","OG7_0017420"
"scer|YAR027W","OG7_0017420"
"scer|YAR028W","OG7_0017420"
"scer|YAR029W","OG7_0017420"
"scer|YAR031W","OG7_0017420"
"scer|YAR033W","OG7_0017420"
"scer|YAR035C-A","OG7_0155475"
"scer|YAR035W","OG7_0001730"
"scer|YAR042W","OG7_0001714"
"scer|YAR050W","OG7_0024920"
"scer|YAR064W","OG7_0101674"
"scer|YAR066W","OG7_0056872"
"scer|YAR068W","OG7_0155888"
"scer|YAR071W","OG7_0005430"
"scer|YBL001C","OG7_0012175"
"scer|YBL002W","OG7_0001377"
"scer|YBL003C","OG7_0001197"
"scer|YBL004W","OG7_0007085"
"scer|YBL005W","OG7_0101640"
"scer|YBL005W-A","OG7_0014733"
"scer|YBL005W-B","OG7_0011767"
"scer|YBL006C","OG7_0155919"
"scer|YBL007C","OG7_0000102"
"scer|YBL008W","OG7_0003632"
"scer|YBL008W-A","OG7_0155780"
"scer|YBL009W","OG7_0008020"
"scer|YBL010C","OG7_0155494"
"scer|YBL011W","OG7_0008954"
"scer|YBL013W","OG7_0002044"
"scer|YBL014C","OG7_0048691"
"scer|YBL015W","OG7_0010909"
"scer|YBL016W","OG7_0000396"
"scer|YBL017C","OG7_0003289"
"scer|YBL018C","OG7_0065399"
"scer|YBL019W","OG7_0003524"
"scer|YBL020W","OG7_0007807"
"scer|YBL021C","OG7_0002789"
"scer|YBL022C","OG7_0002930"
"scer|YBL023C","OG7_0001163"
"scer|YBL024W","OG7_0004943"
"scer|YBL025W","OG7_0155597"
"scer|YBL026W","OG7_0003633"
"scer|YBL027W","OG7_0005190"
"scer|YBL028C","OG7_0034374"
"scer|YBL029C-A","OG7_0022165"
"scer|YBL029W","OG7_0156102"
"scer|YBL030C","OG7_0003519"
"scer|YBL031W","OG7_0155952"
"scer|YBL032W","OG7_0001644"
"scer|YBL033C","OG7_0005722"
"scer|YBL034C","OG7_0002851"
"scer|YBL035C","OG7_0007326"
"scer|YBL036C","OG7_0006095"
"scer|YBL037W","OG7_0002298"
"scer|YBL038W","OG7_0006778"
"scer|YBL039C","OG7_0003758"
